Prefix	Species name
ENSSSC	Sus scrofa (Pig - Largewhite)
ENSENL	Echeneis naucrates (Live sharksucker)
ENSPMR	Podarcis muralis (Common wall lizard)
ENSACA	Anolis carolinensis (Green anole)
ENSTGE	Theropithecus gelada (Gelada)
ENSMMU	Macaca mulatta (Macaque)
ENSEGO	Erythrura gouldiae (Gouldian finch)
ENSSSC	Sus scrofa (Pig - Jinhua)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
ENSCAF	Canis lupus familiaris (Dog - Great Dane)
ENSPAN	Papio anubis (Olive baboon)
ENSBOB	Bubo bubo (Eurasian eagle-owl)
ENSOTS	Oncorhynchus tshawytscha (Chinook salmon)
ENSGMO	Gadus morhua (Atlantic cod)
ENSORL	Oryzias latipes (Japanese medaka HNI)
MGP_PWKPhJ_	Mus musculus musculus (Mouse PWK/PhJ)
ENSNBR	Neolamprologus brichardi (Lyretail cichlid)
ENSTTR	Tursiops truncatus (Dolphin)
ENSSOC	Strix occidentalis caurina (Northern spotted owl)
ENSCSA	Chlorocebus sabaeus (Vervet-AGM)
ENSODE	Octodon degus (Degu)
ENSLSD	Lonchura striata domestica (Bengalese finch)
ENSCAR	Carassius auratus (Goldfish)
ENSACL	Astatotilapia calliptera (Eastern happy)
ENSSOR	Sphaeramia orbicularis (Orbiculate cardinalfish)
ENSFDA	Fukomys damarensis (Damara mole rat)
ENSDNO	Dasypus novemcinctus (Armadillo)
ENSSCA	Serinus canaria (Common canary)
ENSMUS	Mus musculus (Mouse)
ENSMMD	Myripristis murdjan (Pinecone soldierfish)
ENSACC	Aquila chrysaetos chrysaetos (Golden eagle)
ENSTBE	Tupaia belangeri (Tree Shrew)
ENSCWA	Catagonus wagneri (Chacoan peccary)
ENSHGLF	Heterocephalus glaber (Naked mole-rat female)
ENSCAF	Canis lupus dingo (Dingo)
ENSSHA	Sarcophilus harrisii (Tasmanian devil)
ENSMIC	Microcebus murinus (Mouse Lemur)
ENSAME	Ailuropoda melanoleuca (Giant panda)
ENSTNI	Tetraodon nigroviridis (Tetraodon)
ENSEAS	Equus asinus asinus (Donkey)
ENSPRN	Parambassis ranga (Indian glassy fish)
ENSVUR	Vombatus ursinus (Common wombat)
ENSSMA	Scophthalmus maximus (Turbot)
ENSONI	Oreochromis niloticus (Nile tilapia)
ENSOSI	Oryzias sinensis (Chinese medaka)
ENSCAF	Canis lupus familiaris (Dog)
ENSOAR	Ovis aries (Sheep (texel))
ENSNME	Numida meleagris (Helmeted guineafowl)
MGP_129S1SvImJ_	Mus musculus (Mouse 129S1/SvImJ)
ENSZLM	Zosterops lateralis melanops (Silver-eye)
ENSPCO	Propithecus coquereli (Coquerel's sifaka)
ENSBBB	Bison bison bison (American bison)
ENSVVU	Vulpes vulpes (Red fox)
ENSSSC	Sus scrofa (Pig - Landrace)
ENSCAF	Canis lupus familiaris (Dog - Basenji)
MGP_LPJ_	Mus musculus (Mouse LP/J)
ENSSPA	Stegastes partitus (Bicolor damselfish)
MGP_BALBcJ_	Mus musculus (Mouse BALB/cJ)
ENSSSC	Sus scrofa (Pig - Berkshire)
ENSMNE	Macaca nemestrina (Pig-tailed macaque)
ENSLLE	Leptobrachium leishanense (Leishan spiny toad)
ENSLCA	Lates calcarifer (Barramundi perch)
ENSPRE	Poecilia reticulata (Guppy)
ENSECR	Erpetoichthys calabaricus (Reedfish)
